NORMAL;Froggit;30;7;1;100;COMPLIMENT;DISCUSS;-;-
MINIBOSS;MimicBox;45;10;2;100;OBSERVE;PET;OFFER_SNACK;-
BOSS;QueenByte;80;15;4;100;REASON;DANCE;JOKE;INSULT
NORMAL;Glitchling;18;4;1;100;OBSERVE;COMPLIMENT;-;-
NORMAL;ShadowPuff;22;5;1;100;PET;DANCE;-;-
NORMAL;ByteSprite;15;3;0;100;JOKE;DISCUSS;-;-
NORMAL;RustNugget;25;6;2;100;COMPLIMENT;OFFER_SNACK;-;-
NORMAL;StaticMoth;20;4;1;100;OBSERVE;DANCE;-;-
NORMAL;NullBunny;12;2;0;100;PET;COMPLIMENT;-;-
NORMAL;GloomSnail;28;5;2;100;REASON;DISCUSS;-;-
MINIBOSS;VoltHound;50;11;2;100;OBSERVE;TAUNT;OFFER_SNACK;-
MINIBOSS;MirrorShade;55;12;3;100;DISCUSS;COMPLIMENT;SING;-
MINIBOSS;CogWarden;60;13;3;100;REASON;PET;BRAG;-
MINIBOSS;PhantomJar;48;10;2;100;OBSERVE;DANCE;OFFER_SNACK;-
BOSS;CoreBreaker;90;18;5;100;REASON;TAUNT;JOKE;APOLOGIZE
BOSS;VoidSerpent;110;20;6;100;DISCUSS;SING;BRAG;INSULT
